Date,Open,High,Low,Close,Adj Close,Volume
2009-06-09,158.449997,164.300003,152.000000,160.199997,131.323792,510766
2009-06-10,162.399994,167.699997,162.399994,165.250000,135.463531,462939
2009-06-11,166.000000,170.000000,163.300003,167.899994,137.635849,686154
2009-06-12,170.000000,177.399994,156.649994,162.800003,133.455185,678403
2009-06-15,162.949997,162.949997,148.850006,150.949997,123.741112,232068
2009-06-16,148.000000,162.800003,146.000000,160.850006,131.856628,348763
2009-06-17,162.000000,163.699997,151.899994,152.899994,125.339622,180020
2009-06-18,152.000000,153.000000,138.199997,141.250000,117.324211,292429
2009-06-19,144.899994,146.899994,140.500000,145.350006,120.729752,152782
2009-06-22,145.350006,150.000000,142.050003,143.949997,119.566856,118379
2009-06-23,140.199997,143.800003,137.199997,141.750000,117.739532,210792
2009-06-24,142.000000,169.000000,141.000000,164.500000,136.636002,2073499
2009-06-25,170.000000,172.399994,153.000000,157.550003,130.863220,1198478
2009-06-26,160.550003,171.699997,160.500000,169.000000,140.373749,869751
2009-06-29,171.000000,176.449997,164.500000,169.949997,141.162811,836059
2009-06-30,172.000000,174.500000,165.800003,167.350006,139.003235,358489
2009-07-01,168.000000,173.699997,166.500000,172.649994,143.405472,315794
2009-07-02,168.000000,194.000000,168.000000,191.250000,158.854904,2995411
2009-07-03,189.000000,196.800003,184.699997,189.100006,157.069077,1486811
2009-07-06,190.000000,196.500000,171.000000,174.550003,144.983643,923929
2009-07-07,175.000000,191.000000,174.000000,188.100006,156.238464,824691
2009-07-08,185.199997,188.699997,180.000000,181.949997,151.130188,463093
2009-07-09,183.500000,187.949997,174.850006,185.649994,154.203461,439481
2009-07-10,187.550003,191.699997,182.899994,183.699997,152.583740,485422
2009-07-13,180.000000,184.850006,174.149994,180.100006,149.593567,423141
2009-07-14,183.500000,195.000000,183.250000,190.550003,158.273483,750791
2009-07-15,192.000000,200.000000,191.100006,197.250000,163.838593,796383
2009-07-16,201.000000,201.000000,191.050003,192.750000,160.100845,505221
2009-07-17,195.000000,198.699997,192.800003,195.649994,162.509628,309241
2009-07-20,199.000000,206.600006,198.300003,202.000000,167.783997,714699
2009-07-21,202.000000,205.000000,195.100006,197.550003,164.087784,429510
2009-07-22,199.500000,201.850006,193.100006,194.149994,161.263687,238264
2009-07-23,197.800003,200.699997,196.000000,197.850006,164.336960,444177
2009-07-24,199.899994,200.500000,194.550003,196.250000,163.007965,208160
2009-07-27,193.500000,215.699997,193.500000,214.000000,177.751358,1336666
2009-07-28,215.000000,217.500000,208.100006,211.850006,175.965546,520191
2009-07-29,210.500000,220.699997,208.149994,213.050003,176.962296,807094
2009-07-30,213.000000,222.000000,212.100006,219.350006,182.195175,654364
2009-07-31,221.949997,222.300003,214.000000,220.699997,183.316483,661753
2009-08-03,221.000000,230.850006,217.100006,228.750000,190.002914,644514
2009-08-04,229.300003,236.000000,226.000000,233.600006,194.031418,481100
2009-08-05,236.000000,239.899994,229.000000,232.600006,193.200806,358586
2009-08-06,231.500000,234.449997,220.149994,223.500000,185.642181,267122
2009-08-07,220.000000,225.850006,213.050003,214.350006,178.042068,289411
2009-08-10,218.550003,227.899994,215.050003,226.000000,187.718735,418813
2009-08-11,226.000000,248.800003,221.550003,240.850006,200.053345,1132193
2009-08-12,238.500000,243.600006,234.100006,238.149994,197.810699,578587
2009-08-13,242.000000,247.500000,238.000000,239.000000,198.516693,343148
2009-08-14,240.000000,252.000000,239.000000,243.699997,202.420609,1183025
